state_name,year,no_high_school_diploma,high_school_or_equivalent,some_college_less_than_4_yr_degree,bachelors_degree_or_higher
ILLINOIS,2012,486,1521,1300,1708
INDIANA,2012,315,878,779,603
IOWA,2012,121,404,380,336
KANSAS,2012,108,297,372,388
KENTUCKY,2012,255,661,462,405
LOUISIANA,2012,286,609,478,445
MAINE,2012,47,191,172,160
MARYLAND,2012,198,546,526,918
MASSACHUSETTS,2012,280,601,568,1060
MICHIGAN,2012,359,1191,1131,1135
MINNESOTA,2012,153,565,724,739
MISSISSIPPI,2012,181,368,343,271
MISSOURI,2012,272,774,787,675
MONTANA,2012,35,119,159,124
NEBRASKA,2012,59,221,221,226
NEVADA,2012,131,279,343,273
NEW HAMPSHIRE,2012,38,141,145,192
NEW JERSEY,2012,326,931,699,1238
NEW MEXICO,2012,127,192,230,260
NEW YORK,2012,962,2243,1811,2609
NORTH CAROLINA,2012,507,1123,1142,1075
NORTH DAKOTA,2012,23,81,99,90
OHIO,2012,499,1774,1280,1131
OKLAHOMA,2012,135,452,534,406
OREGON,2012,119,362,526,534
PENNSYLVANIA,2012,576,2006,1219,1473
RHODE ISLAND,2012,68,123,114,130
SOUTH CAROLINA,2012,223,613,522,503
SOUTH DAKOTA,2012,27,115,110,90
TENNESSEE,2012,355,861,717,700
TEXAS,2012,1671,2286,2719,2759
UTAH,2012,81,223,349,260
VERMONT,2012,25,81,67,92
VIRGINIA,2012,336,849,739,1131
WASHINGTON,2012,214,629,903,947
WEST VIRGINIA,2012,93,359,193,149
WISCONSIN,2012,187,717,738,674
WYOMING,2012,21,82,81,49
ALABAMA,2013,256,615,496,550
ALASKA,2013,21,71,90,76
ARIZONA,2013,393,653,812,815
ARKANSAS,2013,179,391,355,257
CALIFORNIA,2013,1857,2782,4110,4778
COLORADO,2013,175,386,603,874
CONNECTICUT,2013,133,352,343,564
DELAWARE,2013,35,112,104,107
DISTRICT OF COLUMBIA,2013,29,51,41,187
FLORIDA,2013,720,2240,2492,2513
GEORGIA,2013,452,1037,1086,1199
HAWAII,2013,31,135,150,158
IDAHO,2013,60,167,220,163
ILLINOIS,2013,441,1431,1448,1815
INDIANA,2013,351,898,795,602
IOWA,2013,118,404,381,345
KANSAS,2013,111,312,381,347
KENTUCKY,2013,252,617,526,404
LOUISIANA,2013,259,617,434,416
MAINE,2013,41,187,180,162
MARYLAND,2013,194,495,567,989
MASSACHUSETTS,2013,237,616,620,1125
MICHIGAN,2013,320,1181,1316,1142
MINNESOTA,2013,142,494,726,767
MISSISSIPPI,2013,183,358,306,267
MISSOURI,2013,294,688,759,727
MONTANA,2013,26,125,153,128
NEBRASKA,2013,62,216,241,240
NEVADA,2013,111,334,378,253
NEW HAMPSHIRE,2013,38,145,138,217
NEW JERSEY,2013,334,917,729,1293
NEW MEXICO,2013,111,193,244,254
NEW YORK,2013,976,2138,1929,2773
NORTH CAROLINA,2013,593,1068,1194,1046
NORTH DAKOTA,2013,20,87,94,97
OHIO,2013,531,1705,1304,1194
OKLAHOMA,2013,154,488,499,374
OREGON,2013,124,409,547,489
PENNSYLVANIA,2013,483,1986,1257,1533
RHODE ISLAND,2013,58,110,105,145
SOUTH CAROLINA,2013,236,632,507,540
SOUTH DAKOTA,2013,28,104,114,96
TENNESSEE,2013,373,829,808,648
TEXAS,2013,1547,2506,2762,2788
UTAH,2013,65,212,375,290
VERMONT,2013,20,86,65,90
VIRGINIA,2013,294,857,803,1234
WASHINGTON,2013,198,591,940,928
WEST VIRGINIA,2013,101,333,162,176
WISCONSIN,2013,152,751,730,693
WYOMING,2013,19,83,94,48
